Lat Pulldown,01/25/18,115
Lat Pulldown,01/31/18,120
Lat Pulldown,02/14/18,120
Lat Pulldown,02/16/18,130
Lat Pulldown,02/27/18,120
Lat Pulldown,04/18/18,120
Leg Extension,02/23/18,50
Leg Extension,03/29/18,70
Leg Extension,04/04/18,70
Leg Extension,04/12/18,90
Leg Extension,04/16/18,90
Leg Extension,04/30/18,90
Pec Fly,01/24/18,130
Pec Fly,01/30/18,145
Pec Fly,02/13/18,145
Pec Fly,02/20/18,35
Pec Fly,02/26/18,145
Pec Fly,03/15/18,80
Pec Fly,03/26/18,80
Pec Fly,04/02/18,75
Pec fly,01/17/18,145
Plank,01/19/18,0
Plank,01/23/18,0
Plank,01/25/18,0
Preacher Curl,03/13/18,65
Prone Leg Curl,04/12/18,50
Prone Leg Curl,04/16/18,50
Prone Leg Curl,04/25/18,50
Prone Leg Curl,04/30/18,50
Pull-up,02/02/18,0
Pull-up,03/05/18,0
Pull-up,04/15/18,0
Push-up,01/30/18,0
Push-up,02/05/18,0
Push-ups,01/24/18,0
Pushup ,03/07/18,25
Pushups,01/17/18,10
Pushups,03/15/18,0
Rear Delt Fly,01/25/18,85
Rear Delt Fly,02/06/18,35
Rear Delt Fly,02/14/18,100
Rear Delt Fly,02/28/18,100
Reverse Lat Pulldown,03/05/18,100
Rocky’s,01/19/18,0
Seated Row,01/23/18,100
Seated Row,01/29/18,110
Seated Row,02/02/18,120
Seated Row,02/07/18,110
Seated Row,02/16/18,120
Seated Row,02/21/18,120
Seated Row,03/05/18,120
Seated Row,03/13/18,120
Seated Row,03/28/18,120
Seated Row,04/03/18,110
Seated Row,04/06/18,120
Seated Row,04/10/18,120
Seated Row,04/18/18,120
Seated Row,04/24/18,120
Seated Row,04/27/18,110
Skullcrusher,03/27/18,65
Skullcrusher,04/05/18,55
Skullcrusher,04/17/18,65
Soccer,04/11/18,0
Split motion curls,01/29/18,20
Standard Burpee,02/20/18,0
Straight bar curl,01/23/18,65
Straight bar curl,01/29/18,75
Straight bar curl,02/07/18,75
Super incline press,01/24/18,90
Tricep Extension,01/23/18,60
Tricep Extension,01/29/18,55
Tricep Extension,02/02/18,60
Tricep Extension,02/07/18,60
Tricep Extension,02/12/18,60
Tricep Extension,02/16/18,60
Tricep Extension,02/27/18,60
Tricep Extension,03/05/18,60
Tricep Extension,03/13/18,65
Tricep Extension,03/22/18,60
Tricep Extension ,02/22/18,60
Tricep Pushdown,04/02/18,0
Tricep Rope // DB Hammer curl,01/29/18,0
Tricep Rope Extension // DB hammer curl,01/23/18,0
Tricep Rope Pushdown,02/07/18,0
Tricep Rope Pushdown,02/12/18,0
Tricep Rope Pushdown,02/16/18,0
Tricep Rope Pushdown,02/22/18,0
Tricep Rope Pushdown,02/27/18,50
Tricep Rope Pushdown,03/05/18,50
Tricep Rope Pushdown,03/22/18,0
Tricep Rope Pushdown,03/27/18,0
Tricep Rope Pushdown,04/09/18,0
Tricep Rope Pushdown,04/17/18,0
Tricep Rope Pushdown,04/26/18,30
Tricep Rope Pushdown // DB Hammer Curls,02/02/18,0
Upright Cable Row,04/27/18,100
Wide chest press,01/17/18,110
Wolverine Crossover,04/13/18,30
Wolverine Crossover,04/23/18,80
Wolverine Crossover,04/26/18,80
Wrist Curls // Reverse Wrist Curls,01/23/18,0
Wrist Curls // Reverse Wrist Curls,01/29/18,0
